"account.id","total"
"001i000000NuOGY","0"
"001i000000NuS8r","0"
"001i000000NuPGw","0"
"001i000000NuO7a","0"
"001i000000NuQ2f","0"
"001i000000NuOQz","0"
"001i000000NuOir","0"
"001i000000pnuJU","0"
"001i000000NuPxd","0"
"001i000000NuQYk","0"
"001i000000NuQaO","0"
"001i000000MJzVh","0"
"001i000000NuPMR","0"
"001i000000NuR2b","0"
"001i000000NuPKR","0"
"001i000000NuRQ5","0"
"001i000000NuQIf","0"
"001i000000NuPkQ","0"
"001i000000LhyTV","2"
"001i000000MJzZG","0"
"001i000000NuOTM","0"
"001i000000NuQSj","0"
"001i000000NuRBT","0"
"001i000000NuS2y","0"
"001i000000NuOdS","0"
"001i000000NuQOs","0"
"001i000000NuQx3","0"
"001i000000NuRYS","0"
"001i000000NuQ9i","0"
"001i000000NuR7g","0"
"001i000000NuOp7","0"
"001i000000NuPo3","0"
"001i000000NuRcM","0"
"001i000000elzIx","0"
"001i000000NuNdl","0"
"001i000000NuRv0","0"
"001i000000NuNyu","0"
"001i000000NuNeC","0"
"001i000000NuR3n","0"
"001i000000NuPty","0"
"001i000000NuRVV","0"
"001i000000NuNUn","0"
"001i000000NuOCW","0"
"001i000000Lhyd4","1"
"001i000000NuOmm","0"
"001i000000NuS6T","0"
"001i000000NuODi","0"
"001i000000NuS9S","0"
"001i000000NuQ5f","0"
"001i000000NuRdr","0"
"001i000000NuPHU","0"
"001i000000NuR40","0"
"001i000000NuNbo","0"
"001i000000NuPCo","0"
"001i000000NuRei","0"
"001i000000NuPah","0"
"001i000000Li94C","0"
"001i000000NuOJx","0"
"001i000000NuQok","0"
"001i000000NuOaz","0"
"001i000000NuQZ4","0"
"001i000000NuS3L","0"
"001i000000NuQSl","0"
"001i000000NuO84","0"
"001i000000NuQFA","0"
"001i000000NuS8e","0"
"001i000000NuOex","0"
"001i000000NuRkK","0"
"001i000000NuNwE","0"
"001i000000NuQ4S","0"
"001i000000NuRhw","0"
"001i000000NuPuS","0"
"001i000000NuRew","0"
"001i000000NuQe6","0"
"001i000000NuPJV","0"
"001i000000NuRbd","0"
"001i000000LhyYM","0.5"
"001i000000NuOxO","0"
"001i000000NuPIg","0"
"001i000000NuQpv","0"
"001i000000NuQkS","0"
"001i000000NuQ9A","0"
"001i000000NuRbF","0"
"001i000000NuNtH","0"
"001i000000NuQCH","0"
"001i000000NuRdI","0"
"001i000000cC4nJ","0"
"001i000000NuP1i","0"
"001i000000NuPXM","0"
"001i000000NuO0e","0"
"001i000000LhyVC","1.5"
"001i000000NuNcw","0"
"001i000000NuOoh","0"
"001i000000NuPtV","0"
"001i000000NuPQ4","0"
"001i000000NuOEC","0"
"001i000000NuPox","0"
"001i000000MJzWA","0"
"001i000000NuQn9","0"
"001i000000LhyZn","0.5"
"001i000000NuNoY","0"
"001i000000Li94P","0"
"001i000000NuQXj","0"
"001i000000NuOte","0"
"001i000000NuOZo","0"
"001i000000NuOf7","0"
"001i000000NuNet","0"
"001i000000NuNhJ","0"
"001i000000NuQ0K","0"
"001i000000NuPMK","0"
"001i000000NuQbA","0"
"001i000000LhyXV","0"
"001i000000NuOr7","0"
"001i000000NuQzk","0"
"001i000000NuQTG","0"
"001i000000NuQeA","0"
"001i000000MJzXB","0"
"001i000000NuQip","0"
"001i000000NuQMX","0"
"001i000000NuO1x","0"
"001i000000NuQlY","0"
"001i000000NuQV8","0"
"001i000000NuPnn","0"
"001i000000NuRhe","0"
"001i000000NuPpp","0"
"001i000000NuQYD","0"
"001i000000LhyWj","0"
"001i000000NuOjw","0"
"001i000000NuRdO","0"
"001i000000NuNrC","0"
"001i000000LhyYP","0"
"001i000000NuRSv","0"
"001i000000NuOk6","0"
"001i000000NuOtV","0"
"001i000000NuRPg","0"
"001i000000NuRqc","0"
"001i000000NuQB8","0"
"001i000000NuNjf","0"
"001i000000NuNlQ","0"
"001i000000NuNvk","0"
"001i000000NuPKT","0"
"001i000000NuS6X","0"
"001i000000NuPW3","0"
"001i000000NuP3k","0"
"001i000000NuQHJ","0"
"001i000000NuR9K","0"
"001i000000NuRKC","0"
"001i000000NuNl0","0"
"001i000000NuNzu","0"
"001i000000NuOF0","0"
"001i000000NuPVY","0"
"001i000000NuPhG","0"
"001i000000NuQws","2"
"001i000000Li94Y","0"
"001i000000NuR8k","0"
"001i000000NuRJI","0"
"001i000000NuRj9","0"
"001i000000NuOJa","0"
"001i000000NuQJ6","0"
"001i000000NuOSa","0"
"001i000000NuS8E","0"
"001i000000NuPtD","0"
"001i000000NuQuD","0"
"001i000000NuPER","0"
"001i000000NuOwP","0"
"001i000000NuRCn","0"
"001i000000NuRDg","0"
"001i000000NuRM9","0"
"001i000000NuOcK","0"
"001i000000NuPKF","0"
"001i000000MKXgv","0"
"001i000000NuOWc","0"
"001i000000NuOah","0"
"001i000000MJzb3","0"
