X,Y,billing.zip.code,account.id,ZipCodeType,City,State,LocationType,Lat,Long,Location,Decommisioned,TaxReturnsFiled,EstimatedPopulation,TotalWages,hotspot
-72.52,42.37,1002,001i000000NuP4O,STANDARD,AMHERST,MA,PRIMARY,42.37,-72.52,NA-US-MA-AMHERST,FALSE,10167,16532,415081243,
-72.52,42.37,1002,001i000000NuPUC,STANDARD,AMHERST,MA,PRIMARY,42.37,-72.52,NA-US-MA-AMHERST,FALSE,10167,16532,415081243,
-72.52,42.37,1002,001i000000NuNmG,STANDARD,AMHERST,MA,PRIMARY,42.37,-72.52,NA-US-MA-AMHERST,FALSE,10167,16532,415081243,
-72.52,42.37,1003,001i000000MKXgz,PO BOX,AMHERST,MA,PRIMARY,42.37,-72.52,NA-US-MA-AMHERST,FALSE,,,,
-72.4,42.27,1007,001i000000NuRRs,STANDARD,BELCHERTOWN,MA,PRIMARY,42.27,-72.4,NA-US-MA-BELCHERTOWN,FALSE,7097,12895,342529324,
-72.31,42.09,1057,001i000000NuOj7,STANDARD,MONSON,MA,PRIMARY,42.09,-72.31,NA-US-MA-MONSON,FALSE,4206,7429,180005082,
-73.01,42.35,1243,001i000000NuNXB,PO BOX,MIDDLEFIELD,MA,PRIMARY,42.35,-73.01,NA-US-MA-MIDDLEFIELD,FALSE,,,,
-72.78,42.53,1330,001i000000NuQbI,STANDARD,ASHFIELD,MA,PRIMARY,42.53,-72.78,NA-US-MA-ASHFIELD,FALSE,791,1345,27789072,
-71.35,42.53,1741,001i000000NuOql,STANDARD,CARLISLE,MA,PRIMARY,42.53,-71.35,NA-US-MA-CARLISLE,FALSE,2421,4692,296809193,
-71.35,42.53,1741,001i000000NuQFj,STANDARD,CARLISLE,MA,PRIMARY,42.53,-71.35,NA-US-MA-CARLISLE,FALSE,2421,4692,296809193,
-71.51,42.14,1757,001i000000NuQUP,STANDARD,MILFORD,MA,PRIMARY,42.14,-71.51,NA-US-MA-MILFORD,FALSE,13109,22801,656271057,
-71.5,42.43,1775,001i000000NuNTj,STANDARD,STOW,MA,PRIMARY,42.43,-71.5,NA-US-MA-STOW,FALSE,3257,6132,266358773,
-71.36,42.36,1778,001i000000NuNS3,STANDARD,WAYLAND,MA,PRIMARY,42.36,-71.36,NA-US-MA-WAYLAND,FALSE,6632,12273,695050435,
-71.14,42.65,1810,001i000000NuPJw,STANDARD,ANDOVER,MA,PRIMARY,42.65,-71.14,NA-US-MA-ANDOVER,FALSE,16462,30346,1580077483,
-71.14,42.65,1810,001i000000NuSpu,STANDARD,ANDOVER,MA,PRIMARY,42.65,-71.14,NA-US-MA-ANDOVER,FALSE,16462,30346,1580077483,
-71.14,42.65,1810,001i000000NuO6G,STANDARD,ANDOVER,MA,PRIMARY,42.65,-71.14,NA-US-MA-ANDOVER,FALSE,16462,30346,1580077483,
-71.36,42.59,1824,001i000000NuQ9m,STANDARD,CHELMSFORD,MA,PRIMARY,42.59,-71.36,NA-US-MA-CHELMSFORD,FALSE,12912,23196,794814017,
-70.83,42.67,1938,001i000000NuOmH,STANDARD,IPSWICH,MA,PRIMARY,42.67,-70.83,NA-US-MA-IPSWICH,FALSE,6782,11683,408617757,
